Card Number,Card Type,Physical Card Name,Online Card Name,Physical Card Description,Online Card Description,Carbon,Money,Heart,Momentum,Super Positive,Super Negative,Physical Card Instruction,Preceeding event,Link Text,Link
23,Action,Plant Regeneratively,Plant Regeneratively,Incorporate farming practices that help improve soil health and store carbon.,Incorporate farming practices that help improve soil health and store carbon.,-2,1,0,0,0,0,,,Learn more,https://www.drawdown.org/solutions/food/regenerative-agriculture
24,Action,Use Clean Cookstoves,Use Clean Cookstoves,3 billion people cook over fires<c> which cause health problems and greenhouse gasses. Clean stoves would save lives and buy us time.,3 billion people cook over fires<c> causing health problems and carbon emissions,-1,1,0,0,0,0,,,Take Action,https://www.cleancookingalliance.org/home/index.html
25,Action,Invent Better Cement,Invent Better Cement,Cement is currently responsible for 8% of global emissions - and cement production is growing astronomically.,Cement is currently responsible for 8% of emissions it's use is growing,-2,-1,0,0,0,0,,,Learn more,https://www.youtube.com/watch?v=GSc9hu917OU
26,Action,Retrofit Existing Buildings,Retrofit Buildings,Making buildings more energy efficient cuts energy use and bills.,Making buildings more energy efficient cuts energy use and bills,-2,-1,0,0,0,0,,,Get Inspired,https://www.youtube.com/watch?v=3TioZ2sVL-E
27,Action,Use LED Lights,Use LED Lights,Switch to LEDs in your home<c> apartment building<c> company<c> and city.,Switch to LEDs in your home<c> apartment building<c> company<c> and city,-2,0,0,0,0,0,,,Take Action,https://www.energy.gov/energysaver/save-electricity-and-fuel/lighting-choices-save-you-money/led-lighting
28,Action,Educate Kids Online,Educate Kids Online,Create a global online school to educate everyone on how to care for themselves<c> their families<c> and the planet.,Educate everyone on how to care for themselves<c> their families<c> and the planet,-2,2,1,1,0,0,,,Get Inspired,https://globalonlineacademy.org/why-goa
29,Action,Make All Vehicles Electric,Make Vehicles Electric,Carbon emissions drop 50-95% using electric vehicles compared to gasoline-powered vehicles.,Carbon emissions drop 50-95% using electric vehicles compared to gas,-2,1,0,0,0,0,,,Take Action,https://www.edmunds.com/electric-car/
30,Action,Enact Carbon Taxes,Enact Carbon Taxes,Implement a global carbon tax on emissions. Economists can confirm<c> when something costs more<c> we use less of it.,Market-based solution; when something costs more we use less of it,-4,0,0,0,0,0,,,Take Action,https://citizensclimatelobby.org/
31,Action,Invent New Bio-Coolants,Invent New Bio-Coolants,Replace super greenhouse gases with natural alternatives that keep us AND the planet cool.,Use natural alternatives that keep us AND the planet cool.,-2,2,1,1,0,0,,,Learn More,https://www.drawdown.org/solutions/materials/refrigerant-management
32,Action,Build Solar Powered Airships,Build Solar Airships,Travel and ship cargo with the sun instead of jet fuel.,Travel and ship cargo with the sun instead of jet fuel,-2,1,1,1,0,0,,,Get Inspired,https://www.youtube.com/watch?v=puLeAKm9fx8
33,Action,Make Smarter Grids,Make Smarter Grids,Create a global energy grid with smart technology that is more efficient and is optimized for renewables.,Update the energy grid technology to be more efficient and renewables-optimized,-3,-2,0,1,0,0,,,Learn More,https://www.youtube.com/watch?v=JwRTpWZReJk
34,Action,Build Kelp Continents,Build Kelp Continents,Replace the great Pacific garbage patch with a floating forest of fast-growing<c> CO2-eating Bamboo.,Bye<c> great Pacific garbage patch. Hello<c> floating bamboo forest that eats carbon,-3,-2,1,1,0,0,,,Learn More,https://www.inbar.int/five-ways-bamboo-can-fight-climate-change/
35,Action,Foster Ocean Farming,Foster Ocean Farming,Small-scale farms with complimentary species provide biofuels and food while taking CO2 out of the oceans.,Small farms with complimentary species provide biofuels and food ,-2,2,0,1,0,0,,,Learn More,https://www.drawdown.org/solutions/coming-attractions/marine-permaculture
36,Action,Protect Tropical Forests,Protect Tropical Forests,Engage with and support local communities to protect and restore rainforests.,Engage with and support local communities to protect and restore rainforests,-3,0,1,0,0,0,,,Take Action,https://www.goodnet.org/articles/4-nonprofits-ideas-on-how-to-save-amazon
37,Action,Restore Temperate Forests,Restore Temperate Forests,1.4 billion acres in the Northern Hemisphere could be reforested.,1.4 billion acres in the Northern Hemisphere could be reforested,-2,-1,1,0,0,0,,,Take Action,https://support.nature.org/site/Advocacy?cmd=display&page=UserAction&id=262
38,Action,Make Fuel From Algae,Make Fuel From Algae,Replace liquid fossil fuels with living fuels<c> renewable<c> from algae.,Replace liquid fossil fuels with living fuels<c> renewable<c> from algae,-2,2,0,1,0,0,,,Get Inspired,https://www.forbes.com/sites/jeffmcmahon/2019/05/28/algae-single-celled-savior-of-the-climate-crisis/#154c831f55df
39,Action,Switch Banks,Switch Banks,Move your money to a bank that doesn't fund the fossil fuel industry.,Move your money to a bank that doesn't fund the fossil fuel industry,0,2,0,1,0,0,,,Take Action,https://twocents.lifehacker.com/how-to-choose-a-bank-thats-not-profiting-from-the-clima-1838251720
40,Action,Retire On A Living Planet,Retire On A Living Planet,Move your 401K investments into funds that promote sustainable companies.,Move your 401K investments into funds that promote sustainable companies,0,1,1,1,0,0,,,Take Action,https://medium.com/@paullyoung/how-to-divest-your-401k-from-fossil-fuels-7a077961c1b8
41,Action,Be An Angel Planet Investor,Invest In Clean Startups,Invest in startups with promising new solutions to combat climate change.,Invest in startups with promising new solutions to combat climate change,0,1,1,1,0,0,,,Learn More,https://www.gatesnotes.com/Energy/My-plan-for-fighting-climate-change
42,Action,Befriend Your Representative,Back Representatives,Encourage and support your elected officials in making climate-positive policy.,Encourage and support your elected officials in making climate-positive policy,0,0,0,1,0,0,,,Take Action,https://www.wikihow.com/Change-a-Law-Through-the-Democratic-Process
43,Action,Unite Employees,Unite Employees,Work with your colleagues to influence your company to be more climate-friendly.,Work with your colleagues to influence your company to be more climate-friendly,0,2,1,1,0,0,,,Get Inspired,https://medium.com/@amazonemployeesclimatejustice/public-letter-to-jeff-bezos-and-the-amazon-board-of-directors-82a8405f5e38
44,Action,Take It To court,Take It To court,Sue the government to ensure they take necessary action so you have a liveable future.,Sue<c> not for money<c> but a liveable future,0,0,0,1,0,0,,,Get Inspired,https://www.youtube.com/watch?v=oAPyiiICEas
45,Action,Ditch School,Ditch School,Why learn if your future's so unsure? Leave school each month to talk to elected officials or take action.,Why learn if your future's so unsure? Leave school each month to take action,0,0,1,1,0,0,,,Take Action,https://www.sunrisemovement.org/
46,Action,Scale-Up Composting,Scale-Up Composting,Divert organic matter from landfill to save money<c> create fertilizers<c> and reduce emissions.,Reuse organic matter to save money<c> create fertilizers<c> and reduce emissions,-1,0,0,0,0,0,,,Learn more,https://www.youtube.com/watch?v=v37Wo-eo7ik
47,Action,Switch To Bio-Plastics,Switch To Bio-Plastics,90% of plastics could come from plant-based sources instead of fossil fuels. Bonus - they can decompose too.,90% of plastics could come from plant-based sources instead of fossil fuels,-1,0,0,1,0,0,,,Get Inspired,https://www.bbc.com/news/av/world-europe-43270605/world-s-first-plastic-free-aisle-opens-in-netherlands
48,Action,Expand Wind Farms,Expand Wind Farms,Wind will soon be the cheapest source of electricity.,Wind will soon be the cheapest source of electricity,-2,1,0,0,0,0,,,Get Inspired,https://www.cnbc.com/2019/07/15/scotland-has-produced-enough-wind-energy-to-power-its-homes-twice-over.html
49,Action,Slow Your Fashion,Slow Your Fashion,Fast fashion takes a lot of energy to make and ends up in landfill fast. Buy better quality<c> fewer things.,Fast fashion takes a lot of energy to make and ends up garbage fast.,-1,1,0,0,0,0,,,Take Action,https://www.youtube.com/watch?v=nc1_kadX5nU
50,Action,Fund Innovation,Fund Innovation,Public and private funds to support innovative new climate solution businesses.,Public and private funds to support innovative new climate solution businesses,-1,1,0,1,0,0,,,Learn more,http://www.climatefinancelandscape.org/
51,Action,Manage Risk,Manage Risk,Insurance agencies refuse to insure new fossil fuel projects.,Insurance agencies refuse to insure new fossil fuel projects,-1,0,0,0,0,0,,,Learn more,https://www.insurancejournal.com/news/national/2019/07/01/531016.htm
52,Action,Demand A Better Cloud,Demand A Better Cloud,By 2040<c> storing digital data is set to create 14 percent of the world’s emissions.,By 2040<c> storing digital data is set to create 14 percent of global emissions,0,2,0,1,0,0,,,Learn More,https://www.computerworld.com/article/3431148/why-data-centres-are-the-new-frontier-in-the-fight-against-climate-change.html
53,Action,Telecommute,Telecommute,Replace some in-person meetings and save time<c> money and carbon emissions.,Replace some in-person meetings and save time<c> money<c> and carbon emissions,-1,1,0,0,0,0,,,Take Action,https://climatechange.ucdavis.edu/what-can-i-do/telecommuting-for-the-planet/
54,Action,Restore Whale Populations,Restore Whale Populations,Whales play a vital role in helping the ocean absorb carbon.,Whales play a vital role in helping the ocean absorb carbon,-2,-1,1,0,0,0,,,Learn more,https://www.scientificamerican.com/article/whales-keep-carbon-out-of-the-atmosphere
55,Action,Build Better Buildings,Build Better Buildings,Smarter building design uses natural forces to heat and cool.,Smarter building design uses natural forces to heat and cool,-2,-2,0,1,0,0,,,Get Inspired,https://www.youtube.com/watch?v=620omdSZzBs
56,Action,Let Them Know,Let Them Know,Write an email or use social media to tell your favorite brand you want them to do better on carbon.,Email or use social media to tell your favorite brand you want them to do better,0,0,1,1,0,0,,,Take Action,https://www.brandwatch.com/blog/5-times-customer-change/
57,Action,Take Animals Out,Take Animals Out,Replace animals with meats that are lab-grown or plant-based.,Replace animals with meats that are lab-grown or plant-based,-2,2,0,0,0,0,,,Get Inspired,https://www.youtube.com/watch?v=4uGmnBunJjc
58,Action,Use Business,Use Business,Use the power of scale and influence to solve the climate crisis and transform the green economy.,Scale of business can help solve the climate crisis and build the next economy,-2,2,0,1,0,0,,,Get Inspired,https://www.wemeanbusinesscoalition.org/
59,Action,Refresh Rural Energy,Refresh Rural Energy,Clean energy provides jobs and local revenues so people can stay in their hometowns.,Clean energy jobs and local revenues; people can stay in their hometowns,-1,1,1,1,0,0,,,Learn More,https://www.aweablog.org/wind-turbines-move-town-rural-communities-benefit/
60,Action,Energize Communities Of Color,Back Communities Of Color,Clean energy improves health<c> green economy jobs build wealth.,Clean energy improves health; green economy jobs build wealth.,-2,2,0,1,0,0,,,Get Inspired,https://www.npr.org/2019/07/23/741952615/stepping-into-the-sun-a-mission-to-bring-solar-energy-to-communities-of-color
61,Action,Trust Indigenous Communities,Trust Native Communities,Clean renewable energy means jobs and energy independence on native lands.,Clean renewable energy means jobs and energy independence on native lands.,-2,2,0,1,0,0,,,Get Inspired,https://www.redlakenationnews.com/story/2018/05/16/news/solar-bracketspanels-installed-on-red-lake-government-center-p2/71742.html
62,Action,Invest In Direct Air Capture,Invest In Air Capture,New technologies are being designed that suck the CO2 out of the air.,New technologies are being designed that suck the CO2 out of the air.,-2,1,0,1,0,0,,,,
63,Action,Preserve Peat lands,Preserve Peat Lands,Small but mighty<c> peat lands cover just 3% of Earth's land but they sequester two times more carbon than forests.,Small but mighty<c> at 3% of land they sequester 2x more carbon than forests,-3,-1,0,0,0,0,,,,
64,Action,Rewild The World,Rewild The World,Restore ecosystems so they are more resilient and sequester carbon.,Restore ecosystems so they are more resilient and sequester carbon,-1,-1,1,0,0,0,,,,
1,Event,Continue As Usual,Continue As Usual,Just keep doing what we're doing. Live today as we lived yesterday... until we can't.,Just keep doing what we're doing. Live today as we lived yesterday... until we can't.,1,1,-1,0,0,0,,,,
65,Event,Fish Extinction!,Fish Extinction!,Most wild fish in the world are now extinct<c> including Salmon<c> Tuna<c> Sea Bass<c> Cod<c> Tilapia<c> and many more.,Most wild fish in the world are now extinct<c> including Salmon<c> Tuna<c> Cod<c> Tilapia,1,-4,-1,0,0,1,,Ocean Acidification,,
66,Event,Wildfires,Wildfires,Wildfires blaze<c> causing widespread property damage and destroying millions of acres of plant life.,Wildfires blaze<c> causing widespread property damage and destroying millions of acres ,2,-1,-1,0,0,0,Shuffle in Amazon Burning,,,
67,Event,Amazon Burning!,Amazon Burning!,Widespread degradation turns the forest into savannah. Instead of sequestering 20% of our global carbon<c> it becomes a net emitter.,Degradation turns the forest into savannah; it now emits carbon instead of absorbing it,3,-2,-1,0,0,1,,Wildfires,,
68,Event,Hurricanes,Hurricanes,A season of strong hurricanes cause a heartbreaking amount of damage and loss of life.,A season of strong hurricanes cause a heartbreaking amount of damage and loss of life.,1,-2,-1,0,0,0,Shuffle in Hypercane,,,
69,Event,Hypercane!,Hypercane!,An ocean storm more powerful than any before rips open the ozone layer<c> causing extensive damage to life on Earth.,An unprecedented ocean storm rips open the ozone layer<c> causing extensive damage,2,-2,-1,0,0,1,,Hurricanes,,
70,Event,Heat Waves,Heat Waves,Heatwaves rock the globe<c> killing children and the elderly<c> who are the most vulnerable.,Heatwaves rock the globe<c> killing children and the elderly<c> who are the most vulnerable.,2,-1,-1,0,0,0,Shuffle in Global Drought,,,
71,Event,Global Drought!,Global Drought!,Widespread droughts destabilize communities and the global food system. Millions die<c> food becomes really expensive.,Widespread droughts destabilize the global food system and millions die,2,-4,-1,0,0,1,,Heat Waves,,
72,Event,Infectious Diseases,Infectious Diseases,Many diseases and the critters that spread them<c> like ticks and mosquitos<c> thrive in warmer weather. Tropical diseases spread globally. ,Diseases and pests thrive in warmer weather; tropical diseases spread globally ,1,-1,-1,0,0,0,Shuffle in Outbreak,,,
73,Event,Extreme Storms,Extreme Storms,Rainstorms<c> tornadoes and snow storms are more frequent and last longer causing chaos and costly damage. ,Storms are more frequent and last longer causing chaos and costly damage. ,1,-1,-1,0,0,0,,,,
74,Event,Thawing Permafrost,Thawing Permafrost,Frozen for 10<c>000 years<c> increased global temperatures melt permafrost releasing millions of tonnes of methane<c> making the climate crisis worse. ,Warmer temperatures melt permafrost releasing methane<c> making the climate crisis worse ,2,-1,0,0,0,0,Shuffle in Arctic Ice Cap Melts,,,
75,Event,Arctic Ice Cap Melts!,Arctic Ice Cap Melts!,Carbon stores contained in the ice get released. Coastal cities are submerged underwater.,Carbon stores contained in the ice get released. Coastal cities are submerged underwater.,2,-4,-1,0,0,1,,Thawing Permafrost,,
76,Event,Sunny Days,Sunny Days,All is calm...,All is calm...,0,0,0,0,0,0,,,,
77,Event,Short-Term Focus,Short-Term Focus,Quarterly earnings and reelections take precedence - business as usual continues.,Quarterly earnings and reelections take precedence - business as usual continues.,2,1,0,0,0,0,,,,
78,Event,Risk Aversion,Risk Aversion,Taking bold action is perceived as risky<c> decision-makers don't want to do it.,Taking bold action is perceived as risky<c> decision-makers don't want to do it.,1,0,0,0,0,0,,,,
79,Event,Fossil Fuel Subsidies,Fossil Fuel Subsidies,100s of billions of further investment is being put into fossil fuels globally resulting in more carbon pollution.,Billions in further investment globally results in more carbon pollution yearly,2,0,-1,0,0,0,,,,
80,Event,No Action Plan,No Action Plan,People<c> governments<c> and corporations don't have ambitious plans.,People<c> governments<c> and corporations don't have ambitious plans,2,0,0,0,0,0,,,,
81,Event,Distracted By Other News,Distracted By Other News,The latest events win the news cycle. Climate is out of sight<c> out of mind.,The latest events win the news cycle; climate is out of sight<c> out of mind,1,0,0,0,0,0,,,,
82,Event,Diverting Funds,Diverting Funds,Disaster recovery is taking resources from fighting the causes of climate change. We treat the symptoms only<c> not the underlying disease. ,Disaster recovery takes resources from fighting their causes: climate change,2,-1,-1,0,0,0,,,,
83,Event,Climate Refugees,Climate Refugees,Fleeing from storm damage<c> droughts<c> and fires people need to find a new home.,Fleeing from storm damage<c> droughts<c> and fires people need to find a new home.,1,-2,-1,0,0,0,,,,
84,Event,You Go First,You Go First,People<c> governments<c> and corporations won't take action unless others do,People<c> governments<c> and corporations won't take action unless others do,2,0,0,0,0,0,,,,
85,Event,Forests Flourish Globally!,Forests Thrive Globally!,Tropical<c> temperate<c> and bamboo forests expand rapidly<c> taking billions of tons of CO2 out of the air.,Tropical<c> temperate<c> and bamboo forests expand rapidly<c> sucking CO2 out of the air.,-2,1,1,0,1,0,,,,
86,Event,Aquifers Replenish!,Aquifers Replenish!,Water reserves in the ground<c> once depleted<c> return anew<c> providing water for drinking<c> agriculture<c> and nature.,Refreshed sources provide water for drinking<c> agriculture<c> and nature.,0,2,1,0,1,0,,,,
87,Event,Oceans Flourish Globally!,Oceans Flourish Globally!,Ocean phytoplankton flourish again. Eating a planet-sized portion of CO2 while feeding hungry marine life.,Ocean phytoplankton flourish again; eating CO2 and feeding hungry marine life,-2,2,1,0,1,0,,,,
88,Event,Trophic Cascade!,Trophic Cascade!,Plant and animal life begin thriving again. Extinctions become rare. Many new species are discovered.,Plant and animal life begin thriving again. Extinctions become rare. ,-2,1,1,0,1,0,,,,
89,Event,Ocean Acidification,Ocean Acidification,Forced to absorb too much CO2<c> oceans become more acidic. Coral reefs and fish die.,Forced to absorb too much CO2<c> oceans become more acidic. Coral reefs and fish die,-1,0,0,0,0,0,Shuffle in Fish Extinction,,,
90,Event,Outbreak!,Outbreak!,Infectious diseases thrive in warmer weather and climate chaos and pollution make humans more susceptible. A pandemic breaks out that kills millions. ,Climate chaos and pollution make humans more susceptible to a pandemic; millions die ,0,-4,-1,0,0,1,,Infectious Disease,,
